Model	Item	Part No.	Alternate No.	Part Description (TCLNA)	Price
W14P91		GSK5-6K		Window Foam Insulation Strips	$4.00
W14P91-B	7	1175032001B		Step motor	$21.60
W14P91-B	10	810900559A		Display board	$34.28
W14P91-B	33	1175032007		Sensor resistance	$8.04
W14P91-B	38	810900458H		WiFi module	$16.42
W14P91-B	50	810701898		Cover of stopper	$0.50
W14P91-B	51	810701900		Stopper	$2.00
W14P91-B	52	810701996A		Filter of condenser	$10.00
W14P91-B	53	810701994A		Grid of condenser	$5.00
W14P91-B	55	810701299C		Drain Cap	$1.30
W14P91-B	57	814101769A		Filter and Grid	$5.00
W14P91-B	58	810900093B		Power cord	$37.74
W14P91-B	59	810700928		Drain Tube	$6.30
W14P91-B	60	810900604A		Remote controller	$9.81
W14P91-B	62	1075032001B		Exhaust Hose	$9.00
W14P91-B	63	810701090A		Hose outlet	$4.74
W14P91-B	64	810701997C		Hose inlet, black	$5.82
W14P91-B	65	810700746B		Window slider	$17.40
W14P91-B	67	811202370E		Discharge pipe	$17.64
W14P91-B	68	811202371		Suction pipe	$40.72
W14P91-B	(49-1)	810701160		caster, set of four	$3.92
W14P91-B	*	810700747B		No-hole window slider, 2 piece	$15.00
W14P91-B		GSK5-6K		Window Foam Insulation Strips	$4.00
W14PH91	7	1175032001B		Step motor	$21.60
W14PH91	10	810900559A		Display board	$34.28
W14PH91	33	1175032007	92007-005463	Sensor resistance	$8.04
W14PH91	38	810900458H		WiFi module	$16.42
W14PH91	50	810701898B		Cover of stopper	$0.32
W14PH91	51	810701900		Stopper	$2.00
W14PH91	52	810701996		Filter of condenser	$8.00
W14PH91	53	810701994		Grid of condenser	$11.28
W14PH91	55	810701299A		Drain Cap	$1.30
W14PH91	57	814101769		Grid of evaporator	$21.60
W14PH91	58	810900093		Power cord	$37.74
W14PH91	59	810700928		Drain Tube	$6.30
W14PH91	60	810900614A		Remote controller UYKQ-90	$9.81
W14PH91	62	1075032001A		Exhaust Hose	$9.00
W14PH91	63	810701090		Hose outlet	$4.86
W14PH91	64	810701997		Hose inlet	$5.82
W14PH91	65	810700746A		Window slider	$17.40
W14PH91	(49-1)	810701160		caster, set of four	$3.92
W14PH91	*	810701637		No-hole window slider, 2 piece	$15.00
W14PH91		FPKW5-6K		Filler Panel Kit White 5-6K	$6.00
W14PH91-B	7	1175032001B		Step motor	$21.60
W14PH91-B	10	810900559A		Display board	$34.28
W14PH91-B	33	1175032007	92007-005463	Sensor resistance	$8.04
W14PH91-B	38	810900458H		WiFi module	$16.42
W14PH91-B	50	810701898		Cover of stopper	$0.50
W14PH91-B	51	810701900		Stopper	$2.00
W14PH91-B	52	810701996A		Filter of condenser	$10.00
W14PH91-B	53	810701994A		Grid of condenser	$5.00
W14PH91-B	55	810701299C		Drain Cap	$1.30
W14PH91-B	57	814101769A		Filter and Grid	$5.00
W14PH91-B	58	810900093B		Power cord	$37.74
W14PH91-B	59	810700928		Drain Tube	$6.30
W14PH91-B	60	810900604A		Remote controller	$9.81
W14PH91-B	62	1075032001B		Exhaust Hose	$9.00
W14PH91-B	63	810701090A		Hose outlet	$4.74
W14PH91-B	64	810701997C		Hose inlet, black	$5.82
W14PH91-B	65	810700746B		Window slider	$17.40
W14PH91-B	(49-1)	810701160		caster, set of four	$3.92
W14PH91-B	*	810700747B		No-hole window slider, 2 piece	$15.00
W14PH91-B		FPKW5-6K		Filler Panel Kit White 5-6K	$6.00
10T3E1	1	210738331	41106-002927	Display decorative piece1	$4.00
10T3E1	2	210738332	41106-002928	Display decorative piece2	$4.00
10T3E1	3.1	210738272A	42008-000094	Air Filter	$6.64
10T3E1	15	210901411C	31502-000003	Main pcb	$37.48
10T3E1	26	42004-000101	210738337	Propeller Fan	$5.00
10T3E1	29	210836793	41214-000589	grille	$5.00
10T3E1	30	210836767	41214-000275	intake and outtake grille	$10.00
10T3E1	34	210901453A	22007-000069	Power Supply Cord	$38.04
10T3E1	35	210901457C	22013-000262	Remote Controller	$7.96
12T3E1		GSK8-15K		Window Foam Insulation Strips	$4.00
12T3E1		210738331		Display decorative piece1	$4.00
12T3E1		210738332		Display decorative piece2	$4.00
12T3E1		210738272A		Air Filter	$6.64
12T3E1		210836793		grille	$5.00
12T3E1		210836767		intake and outtake grille	$10.00
12T3E1		210901411C		Main pcb	$37.48
12T3E1		210901453A		Power Supply Cord	$38.04
12T3E1		210901457C		Remote Controller	$7.96
8T3E1		210901453A	22007-000069	Power Supply Cord	$38.04
8T3E1		GSK8-15K		Window Foam Insulation Strips	$4.00
8T3E1		210901411C	31502-000003	Main pcb	$37.48
8T3E1		210738331	41106-002927	Display decorative piece1	$4.00
8T3E1		210738332	41106-002928	Display decorative piece2	$4.00
8T3E1		210901457C	22013-003959	Remote Controller	$7.96
8T3E1		210836767	41214-000275	intake and outtake grille	$10.00
8T3E1		210836793	41214-000589	grille	$5.00
8T3E1		210738272A	42008-000094	Air Filter	$6.64
TTW-08CR/UF		210738272A		Air Filter	$6.64
TTW-08CR/UF		210738331		Display decorative piece1	$4.00
TTW-08CR/UF		210738332		Display decorative piece2	$4.00
TTW-08CR/UF		210836793		grille	$5.00
TTW-08CR/UF		210836767		intake and outtake grille	$10.00
TTW-08CR/UF		210901411C		Main pcb	$37.48
TTW-08CR/UF		210901453A		Power Supply Cord	$38.04
TTW-08CR/UF		210901457C		Remote Controller	$7.96
TTW-08CR/UF		210901539		Sensor Assembly	$6.96
TTW-08ER/UF		210738272A		Air Filter	$6.64
TTW-08ER/UF		210738331		Display decorative piece1	$4.00
TTW-08ER/UF		210738332		Display decorative piece2	$4.00
TTW-08ER/UF		210836793		grille	$5.00
TTW-08ER/UF		210836767		intake and outtake grille	$10.00
TTW-08ER/UF		210901411C		Main pcb	$37.48
TTW-08ER/UF		210901453A		Power Supply Cord	$38.04
TTW-08ER/UF		210901457C		Remote Controller	$7.96
TTW-08ER/UF		210901539		Sensor Assembly	$6.96
TTW-10CR/UF		210738272A		Air Filter	$6.64
TTW-10CR/UF		210738331		Display decorative piece1	$4.00
TTW-10CR/UF		210738332		Display decorative piece2	$4.00
TTW-10CR/UF		210836793		grille	$5.00
TTW-10CR/UF		210836767		intake and outtake grille	$10.00
TTW-10CR/UF		210901411C		Main pcb	$37.48
TTW-10CR/UF		210901453A		Power Supply Cord	$38.04
TTW-10CR/UF		210901457C		Remote Controller	$7.96
TTW-10CR/UF		210901539		Sensor Assembly	$6.96
TTW-10CR2/UF		210738272A		Air Filter	$6.64
TTW-10CR2/UF		210738331		Display decorative piece1	$4.00
TTW-10CR2/UF		210738332		Display decorative piece2	$4.00
TTW-10CR2/UF		210836793		grille	$5.00
TTW-10CR2/UF		210836767		intake and outtake grille	$10.00
TTW-10CR2/UF		210901411C		Main pcb	$37.48
TTW-10CR2/UF		210901453A		Power Supply Cord	$38.04
TTW-10CR2/UF		210901457C		Remote Controller	$7.96
TTW-10CR2/UF		210901539		Sensor Assembly	$6.96
TTW-10ER2/UF		210738272A		Air Filter	$6.64
TTW-10ER2/UF		210738331		Display decorative piece1	$4.00
TTW-10ER2/UF		210738332		Display decorative piece2	$4.00
TTW-10ER2/UF		210836793		grille	$5.00
TTW-10ER2/UF		210836767		intake and outtake grille	$10.00
TTW-10ER2/UF		210901411C		Main pcb	$37.48
TTW-10ER2/UF		210901453A		Power Supply Cord	$38.04
TTW-10ER2/UF		210901457C		Remote Controller	$7.96
TTW-10ER2/UF		210901539		Sensor Assembly	$6.96
TTW-12CR/UF		210738272A		Air Filter	$6.64
TTW-12CR/UF		210738331		Display decorative piece1	$4.00
TTW-12CR/UF		210738332		Display decorative piece2	$4.00
TTW-12CR/UF		210836793		grille	$5.00
TTW-12CR/UF		210836767		intake and outtake grille	$10.00
TTW-12CR/UF		210901411C		Main pcb	$37.48
TTW-12CR/UF		210901453A		Power Supply Cord	$38.04
TTW-12CR/UF		210901457C		Remote Controller	$7.96
TTW-12CR/UF		210901539		Sensor Assembly	$6.96
TTW-12CR2/UF		210738272A		Air Filter	$6.64
TTW-12CR2/UF		210738331		Display decorative piece1	$4.00
TTW-12CR2/UF		210738332		Display decorative piece2	$4.00
TTW-12CR2/UF		210836793		grille	$5.00
TTW-12CR2/UF		210836767		intake and outtake grille	$10.00
TTW-12CR2/UF		210901411C		Main pcb	$37.48
TTW-12CR2/UF		210901453A		Power Supply Cord	$38.04
TTW-12CR2/UF		210901457C		Remote Controller	$7.96
TTW-12CR2/UF		210901539		Sensor Assembly	$6.96
TTW-12ER2/UF		210738272A		Air Filter	$6.64
TTW-12ER2/UF		210738331		Display decorative piece1	$4.00
TTW-12ER2/UF		210738332		Display decorative piece2	$4.00
TTW-12ER2/UF		210836793		grille	$5.00
TTW-12ER2/UF		210836767		intake and outtake grille	$10.00
TTW-12ER2/UF		210901411C		Main pcb	$37.48
TTW-12ER2/UF		210901453A		Power Supply Cord	$38.04
TTW-12ER2/UF		210901457C		Remote Controller	$7.96
TTW-12ER2/UF		210901539		Sensor Assembly	$6.96
W10T9E1-A	1	210738331	41106-002927	Display decorative piece1	$4.00
W10T9E1-A	2	210738332	41106-002928	Display decorative piece2	$4.00
W10T9E1-A	3.1	210738272A	42008-000094	Air Filter	$6.64
W10T9E1-A	12	210901721	10502-100032	Transformer	$8.70
W10T9E1-A	15	210901411P	31502-000014	Main pcb	$35.56
W10T9E1-A	29	210836793	41214-000589	grille	$5.00
W10T9E1-A	30	210836767	41214-000275	intake and outtake grille	$10.00
W10T9E1-A	34	210901453A	22007-000069	Power Supply Cord	$38.04
W10T9E1-A	35	210901457C	22013-000262	Remote Controller	$7.96
W10T9E1-A	39	214154672	32001-000143	Wifi Module	$17.40
W10T9EX1-A	1	210738331	41106-002927	Display decorative piece1	$4.00
W10T9EX1-A	2	210738332	41106-002928	Display decorative piece2	$4.00
W10T9EX1-A	3.1	210738272A	42008-000094	Air Filter	$6.64
W10T9EX1-A	15	210901411H	31502-000006	Main pcb	$39.60
W10T9EX1-A	29	210836793	41214-000589	grille	$5.00
W10T9EX1-A	30	210836767	41214-000275	intake and outtake grille	$10.00
W10T9EX1-A	34	210901453E	22007-000079	Power Supply Cord	$20.00
W10T9EX1-A	35	210901457C	22013-000262	Remote Controller	$7.96
W10T9EX1-A	39	214154672	32001-000143	Wifi Module	$17.40
W12T9E1-A	1	210738331	41106-002927	Display decorative piece1	$4.00
W12T9E1-A	2	210738332	41106-002928	Display decorative piece2	$4.00
W12T9E1-A	3.1	210738272A	42008-000094	Air Filter	$6.64
W12T9E1-A	12	210901721	10502-100032	Transformer	$8.70
W12T9E1-A	15	210901411P	31502-000014	Main pcb	$35.56
W12T9E1-A	29	210836793	41214-000589	grille	$5.00
W12T9E1-A	30	210836767	41214-000275	intake and outtake grille	$10.00
W12T9E1-A	34	210901453A	22007-000069	Power Supply Cord	$38.04
W12T9E1-A	35	210901457C	22013-000262	Remote Controller	$7.96
W12T9E1-A	39	214154672	32001-000143	Wifi Module	$17.40
W12T9EX1-A	1	210738331	41106-002927	Display decorative piece1	$4.00
W12T9EX1-A	2	210738332	41106-002928	Display decorative piece2	$4.00
W12T9EX1-A	3.1	210738272A	42008-000094	Air Filter	$6.64
W12T9EX1-A	15	210901411H	31502-000006	Main pcb	$39.60
W12T9EX1-A	29	210836793	41214-000589	grille	$5.00
W12T9EX1-A	30	210836767	41214-000275	intake and outtake grille	$10.00
W12T9EX1-A	34	210901453E	22007-000079	Power Supply Cord	$20.00
W12T9EX1-A	35	210901457C	22013-000262	Remote Controller	$7.96
W12T9EX1-A	39	214154672	32001-000143	Wifi Module	$17.40
W14T9X1-A	1	210738331	41106-002927	Display decorative piece1	$4.00
W14T9X1-A	2	210738332	41106-002928	Display decorative piece2	$4.00
W14T9X1-A	3.1	210738272A	42008-000094	Air Filter	$6.64
W14T9X1-A	15	210901411H	31502-000006	Main pcb	$39.60
W14T9X1-A	29	210836793	41214-000589	grille	$5.00
W14T9X1-A	30	210836767	41214-000275	intake and outtake grille	$10.00
W14T9X1-A	34	210901453E	22007-000079	Power Supply Cord	$20.00
W14T9X1-A	35	210901457C	22013-000262	Remote Controller	$7.96
W14T9X1-A	36	214154672	32001-000143	Wifi Module	$17.40
W8T9E1-A	1	210738331	41106-002927	Display decorative piece1	$4.00
W8T9E1-A	2	210738332	41106-002928	Display decorative piece2	$4.00
W8T9E1-A	3.1	210738272A	42008-000094	Air Filter	$6.64
W8T9E1-A	12	210901721	10502-100032	Transformer	$8.70
W8T9E1-A	15	210901411P	31502-000014	Main pcb	$35.56
W8T9E1-A	29	210836793	41214-000589	grille	$5.00
W8T9E1-A	30	210836767	41214-000275	intake and outtake grille	$10.00
W8T9E1-A	34	210901453A	22007-000069	Power Supply Cord	$38.04
W8T9E1-A	35	210901457C	22013-000262	Remote Controller	$7.96
W8T9E1-A	39	214154672	32001-000143	Wifi Module	$17.40
10W31-A		GSK8-15K		Window Foam Insulation Strips	$4.00
10W31-A		1193070510	A2004-000143	Screw bag	$4.00
10W31-A		210901461		Display PCB	$18.05
10W31-A		210736617		Air Filter	$4.14
10W31-A		214146707		Filler Panels	$6.15
10W31-A		210736622		Filler Panels Left Rail	$4.08
10W31-A		210736623		Filler Panels Right Rail	$4.08
10W31-A		210737051		Foam Top window Gasket	$2.00
10W31-A		210826602		Lock Frame	$2.00
10W31-A		210901411C		Main pcb	$37.48
10W31-A		210901457C		Remote Controller	$7.96
10W31-A		210826603		Sash lock	$2.00
10W31-A		214146620		Screw Kit White 5-12k	$4.00
10W31-A		210901539		Sensor Assembly	$6.96
10W31-A		210826820		Top mounting Rail	$5.08
10W31-A		210737020		Window Sash seal	$3.00
10W31-A		FPKW10-12K	41509-000004	Filler Panel Kit White 10-14K	$10.00
10W3E1	1.2	210736617	41507-000133	Air Filter	$4.14
10W3E1	2.1	210901539	10104-100026	Sensor Assembly	$6.96
10W3E1	2.6	210901461	31502-000018	Display PCB	$18.05
10W3E1	2.9	210901411C	31502-000003	Main pcb	$37.48
10W3E1	8	41503-000007	210736728	Propeller Fan	$2.88
10W3E1	10	22001-000166	210901435	Fan Motor	$45.82
10W3E1	11	41503-000010	210736727	Centrifugal Fan	$8.00
10W3E1	18	210901453A	22007-000069	Power Supply Cord	$38.04
10W3E1	23	210901457C	22013-000262	Remote Controller	$7.96
10W3E1	24.1	210737020	41214-000499	Window Sash seal	$3.00
10W3E1	24.2	210737051	42006-000235	Foam Top window Gasket	$2.00
10W3E1	24.3	214146707	41509-000012	Filler Panels	$6.15
10W3E1	24.4	210736622	41509-000044	Filler Panels Left Rail	$4.08
10W3E1	24.5	210736623	41509-000034	Filler Panels Right Rail	$4.08
10W3E1	24.7	214146620	59902-100000	Screw Kit White 5-12k	$4.00
10W3E1	25	210826820	41509-000023	Top mounting Rail	$5.08
10W3E1	24.7.1	1193070510	A2004-000143	Screw Kit Black	$4.00
10W3E1	24.7.2	210826603	41214-000132	Sash lock	$2.00
10W3E1	24.7.3	210826602	41214-000139	Lock Frame	$2.00
10W3E1		GSK8-15K		Window Foam Insulation Strips	$4.00
10W3E1		FPKW10-12K	41509-000004	Filler Panel Kit White 10-14K	$10.00
10W3E1-A		210901453A	22007-000069	Power Supply Cord	$38.04
10W3E1-A		GSK8-15K		Window Foam Insulation Strips	$4.00
10W3E1-A		1193070510	A2004-000143	Screw bag	$4.00
10W3E1-A		210901461		Display PCB	$18.05
10W3E1-A		210736617		Air Filter	$4.14
10W3E1-A		210736622		Filler Panels Left Rail	$4.08
10W3E1-A		210736623		Filler Panels Right Rail	$4.08
10W3E1-A		210737051		Foam Top window Gasket	$2.00
10W3E1-A		210826602		Lock Frame	$2.00
10W3E1-A		210901411C		Main pcb	$37.48
10W3E1-A		210901457C		Remote Controller	$7.96
10W3E1-A		210826603		Sash lock	$2.00
10W3E1-A		214146620		Screw Kit White 5-12k	$4.00
10W3E1-A		210901539		Sensor Assembly	$6.96
10W3E1-A		210826820		Top mounting Rail	$5.08
10W3E1-A		210737020		Window Sash seal	$3.00
10W3E1-A		FPKW10-12K	41509-000004	Filler Panel Kit White 10-14K	$10.00
10W9E1-A	1.2	210736617	41507-000133	Air Filter	$4.14
10W9E1-A	2.10 	210901539	10104-100026	Sensor Assembly	$6.96
10W9E1-A	2.6	210901461C	31502-000023	Display PCB	$12.56
10W9E1-A	2.8	210901721	10502-100032	Transformer	$8.70
10W9E1-A	2.9	210901411P	31502-000014	Main pcb	$35.56
10W9E1-A	10	22001-000166	210901435	Fan Motor	$45.82
10W9E1-A	18	210901453A	22007-000069	Power Supply Cord	$38.04
10W9E1-A	23	210901457C	22013-000262	Remote Controller	$7.96
10W9E1-A	24.1	210737020	41214-000499	Window Sash seal	$3.00
10W9E1-A	24.2	210737051	42006-000235	Foam Top window Gasket	$2.00
10W9E1-A	24.3	FPKW10-12K	41509-000004	Filler Panel Kit White 10-14K	$10.00
10W9E1-A	25	210826820	41509-000023	Top mounting Rail	$5.08
10W9E1-A	26	214154672	32001-000143	Wifi Module	$17.40
10W9E1-A	24.3.1	214146707	41509-000012	Filler Panels	$6.15
10W9E1-A	24.3.2	210736622	41509-000044	Filler Panels Left Rail	$4.08
10W9E1-A	24.3.3	210736623	41509-000034	Filler Panels Right Rail	$4.08
10W9E1-A	24.4.1	1193070510	A2004-000143	Screw Kit Black	$4.00
10W9E1-A	24.4.2	210826603	41214-000132	Sash lock	$2.00
10W9E1-A	24.4.3	210826602	41214-000139	Lock Frame	$2.00
10W9E1-A		GSK8-15K		Window Foam Insulation Strips	$4.00
10W9E1-A		FPKW10-12K	41509-000004	Filler Panel Kit White 10-14K	$10.00
12W31-A		210901453A	22007-000069	Power Supply Cord	$38.04
12W31-A		GSK8-15K		Window Foam Insulation Strips	$4.00
12W31-A		1193070510	A2004-000143	Screw bag	$4.00
12W31-A		210901461		Display PCB	$18.05
12W31-A		210736617		Air Filter	$4.14
12W31-A		210736622		Filler Panels Left Rail	$4.08
12W31-A		210736623		Filler Panels Right Rail	$4.08
12W31-A		210737051		Foam Top window Gasket	$2.00
12W31-A		210826602		Lock Frame	$2.00
12W31-A		210901411C		Main pcb	$37.48
12W31-A		210901457C		Remote Controller	$7.96
12W31-A		210826603		Sash lock	$2.00
12W31-A		214146620		Screw Kit White 5-12k	$4.00
12W31-A		210901539		Sensor Assembly	$6.96
12W31-A		210826820		Top mounting Rail	$5.08
12W31-A		210737020		Window Sash seal	$3.00
12W31-A		FPKW10-12K	41509-000004	Filler Panel Kit White 10-14K	$10.00
12W3E1	1.2	210736617	41507-000133	Air Filter	$4.14
12W3E1	2.1	210901539	10104-100026	Sensor Assembly	$6.96
12W3E1	2.6	210901461	31502-000018	Display PCB	$18.05
12W3E1	2.9	210901411C	31502-000003	Main pcb	$37.48
12W3E1	10	22001-000166	210901435	Fan Motor	$45.82
12W3E1	18	210901453A	22007-000069	Power Supply Cord	$38.04
12W3E1	23	210901457C	22013-000262	Remote Controller	$7.96
12W3E1	24.1	210737020	41214-000499	Window Sash seal	$3.00
12W3E1	24.2	210737051	42006-000235	Foam Top window Gasket	$2.00
12W3E1	24.3	214146707	41509-000012	Filler Panels	$6.15
12W3E1	24.4	210736622	41509-000044	Filler Panels Left Rail	$4.08
12W3E1	24.5	210736623	41509-000034	Filler Panels Right Rail	$4.08
12W3E1	24.7	214146620	59902-100000	Screw Kit White 5-12k	$4.00
12W3E1	25	210826820	41509-000023	Top mounting Rail	$5.08
12W3E1	24.7.1	1193070510	A2004-000143	Screw Kit Black	$4.00
12W3E1	24.7.2	210826603	41214-000132	Sash lock	$2.00
12W3E1	24.7.3	210826602	41214-000139	Lock Frame	$2.00
12W3E1	99	FPKW10-12K	41509-000004	Filler Panel Kit White 10-14K	$10.00
12W3E1-A		210901453A	22007-000069	Power Supply Cord	$38.04
12W3E1-A		GSK8-15K		Window Foam Insulation Strips	$4.00
12W3E1-A		1193070510	A2004-000143	Screw bag	$4.00
12W3E1-A		210901461		Display PCB	$18.05
12W3E1-A		210736617		Air Filter	$4.14
12W3E1-A		210736622		Filler Panels Left Rail	$4.08
12W3E1-A		210736623		Filler Panels Right Rail	$4.08
12W3E1-A		210737051		Foam Top window Gasket	$2.00
12W3E1-A		210826602		Lock Frame	$2.00
12W3E1-A		210901411C		Main pcb	$37.48
12W3E1-A		210901457C		Remote Controller	$7.96
12W3E1-A		210826603		Sash lock	$2.00
12W3E1-A		214146620		Screw Kit White 5-12k	$4.00
12W3E1-A		210901539		Sensor Assembly	$6.96
12W3E1-A		210826820		Top mounting Rail	$5.08
12W3E1-A		210737020		Window Sash seal	$3.00
12W3E1-A	99	FPKW10-12K	41509-000004	Filler Panel Kit White 10-14K	$10.00
12W9E1	1.2	210736617	41507-000133	Air Filter	$4.14
12W9E1	2.10 	210901539	10104-100026	Sensor Assembly	$6.96
12W9E1	2.6	210901461C	31502-000023	Display PCB	$12.56
12W9E1	2.8	210901721	10502-100032	Transformer	$8.70
12W9E1	2.9	210901411P	31502-000014	Main pcb	$35.56
12W9E1	10	22001-000166	210901435	Fan Motor	$45.82
12W9E1	18	210901453A	22007-000069	Power Supply Cord	$38.04
12W9E1	23	210901457C	22013-000262	Remote Controller	$7.96
12W9E1	24.1	210737020	41214-000499	Window Sash seal	$3.00
12W9E1	24.2	210737051	42006-000235	Foam Top window Gasket	$2.00
12W9E1	24.3	FPKW10-12K	41509-000004	Filler Panel Kit White 10-14K	$10.00
12W9E1	25	210826820	41509-000023	Top mounting Rail	$5.08
12W9E1	26	214154672	32001-000143	Wifi Module	$17.40
12W9E1	24.3.1	214146707	41509-000012	Filler Panels	$6.15
12W9E1	24.3.2	210736622	41509-000044	Filler Panels Left Rail	$4.08
12W9E1	24.3.3	210736623	41509-000034	Filler Panels Right Rail	$4.08
12W9E1	24.4.1	1193070510	A2004-000143	Screw Kit Black	$4.00
12W9E1	24.4.2	210826603	41214-000132	Sash lock	$2.00
12W9E1	24.4.3	210826602	41214-000139	Lock Frame	$2.00
12W9E1		GSK8-15K		Window Foam Insulation Strips	$4.00
12W9E1		FPKW10-12K	41509-000004	Filler Panel Kit White 10-14K	$10.00
12W9E1-A	1.2	210736617	41507-000133	Air Filter	$4.14
12W9E1-A	2.10 	210901539	10104-100026	Sensor Assembly	$6.96
12W9E1-A	2.6	210901461C	31502-000023	Display PCB	$12.56
12W9E1-A	2.8	210901721	10502-100032	Transformer	$8.70
12W9E1-A	2.9	210901411P	31502-000014	Main pcb	$35.56
12W9E1-A	10	22001-000166	210901435	Fan Motor	$45.82
12W9E1-A	18	210901453A	22007-000069	Power Supply Cord	$38.04
12W9E1-A	23	210901457C	22013-000262	Remote Controller	$7.96
12W9E1-A	24.1	210737020	41214-000499	Window Sash seal	$3.00
12W9E1-A	24.2	210737051	42006-000235	Foam Top window Gasket	$2.00
12W9E1-A	24.3	FPKW10-12K	41509-000004	Filler Panel Kit White 10-14K	$10.00
12W9E1-A	25	210826820	41509-000023	Top mounting Rail	$5.08
12W9E1-A	26	214154672	32001-000143	Wifi Module	$17.40
12W9E1-A	24.3.1	214146707	41509-000012	Filler Panels	$6.15
12W9E1-A	24.3.2	210736622	41509-000044	Filler Panels Left Rail	$4.08
12W9E1-A	24.3.3	210736623	41509-000034	Filler Panels Right Rail	$4.08
12W9E1-A	24.4.1	1193070510	A2004-000143	Screw Kit Black	$4.00
12W9E1-A	24.4.2	210826603	41214-000132	Sash lock	$2.00
12W9E1-A	24.4.3	210826602	41214-000139	Lock Frame	$2.00
12W9E1-A		GSK8-15K		Window Foam Insulation Strips	$4.00
12W9E1-A		FPKW10-12K	41509-000004	Filler Panel Kit White 10-14K	$10.00
15W3E1-A		210901453A	22007-000069	Power Supply Cord	$38.04
15W3E1-A		GSK8-15K		Window Foam Insulation Strips	$4.00
15W3E1-A		210736555	42008-000062	Air Filter	$7.50
15W3E1-A		210901461		Display PCB	$18.05
15W3E1-A		210901458		Fan Motor	$78.36
15W3E1-A		FPKW15K		Filler Panel Kit White 15K-24k	$10.00
15W3E1-A		210736743		Filler Panels	$6.24
15W3E1-A		210736566		Filler Panels Left Rail	$5.16
15W3E1-A		210736744		Filler Panels plug	$2.00
15W3E1-A		210737051		Foam Top window Gasket	$2.00
15W3E1-A		211800128		Gasket	$0.50
15W3E1-A		210901411C		Main pcb	$37.48
15W3E1-A		210901457C		Remote Controller	$7.96
15W3E1-A		210826603		Sash lock	$2.00
15W3E1-A		214148430		Screw  assembly	$4.00
15W3E1-A		210901539		Sensor Assembly	$6.96
15W3E1-A		210826661		Sill Angel Bracket	$3.28
15W3E1-A		210826659		Support Bracket(Left)	$13.68
15W3E1-A		210826660		Support Bracket(Right)	$13.68
15W3E1-A		210826835		Top mounting Rail	$8.70
15W3E1-A		210737020		Window Sash seal	$3.00
15W9E1-A	1.4	210736555	42008-000062	Air Filter	$7.50
15W9E1-A	8	210736566	41509-000040	Filler Panels Left Rail	$5.16
15W9E1-A	9	210736743	41509-000014	Filler Panels	$6.24
15W9E1-A	10	210826835	41509-000026	Top mounting Rail	$8.70
15W9E1-A	11	210736744	41214-000913	Filler Panels plug	$2.00
15W9E1-A	19	210901458	22001-000165	Fan Motor	$78.36
15W9E1-A	28.3	210901411P	31502-000014	Main pcb	$35.56
15W9E1-A	28.5	210901721	10502-100032	Transformer	$8.70
15W9E1-A	28.8	210901461C	31502-000023	Display PCB	$12.56
15W9E1-A	29	210901457C	22013-000262	Remote Controller	$7.96
15W9E1-A	30	210901453A	22007-000069	Power Supply Cord	$38.04
15W9E1-A	31.2	210736744	41214-000913	Filler Panels plug	$2.00
15W9E1-A	31.3	210826659	41214-000318	Support Bracket(Left)	$13.68
15W9E1-A	31.4	210826660	41214-000317	Support Bracket(Right)	$13.68
15W9E1-A	31.5	210737020	41214-000499	Window Sash seal	$3.00
15W9E1-A	31.6	210737051	42006-000235	Foam Top window Gasket	$2.00
15W9E1-A	31.7	210737551	41399-000023	Insulation strip sponge	$6.40
15W9E1-A	36	210901539	10104-100026	Sensor Assembly	$6.96
15W9E1-A	37	214154672	32001-000143	Wifi Module	$17.40
15W9E1-A	*	214156315	41509-000006	Filler Panels Assembly	$10.00
15W9E1-A	31.11.1	1193070510	A2004-000143	Screw Kit Black	$4.00
15W9E1-A	31.11.2	210826603	41214-000132	Sash lock	$2.00
15W9E1-A	31.11.3	210826661	41214-000411	Sill Angel Bracket	$3.28
15W9E1-A	31.11.6	211800128	50209-100009	Gasket	$0.50
15W9E1-A		FPKW15K		Filler Panel Kit White 15K-24k	$10.00
15W9E1-A		GSK8-15K		Window Foam Insulation Strips	$4.00
5WR1		210901453	22007-000068	Power Supply Cord	$28.89
5WR1		210736834	41505-000069	Knob	$2.00
5WR1		210736452	42008-000060	Air Filter	$7.50
5WR1		1193070510	A2004-000143	Screw bag	$4.00
5WR1		FPKW5-6K		Filler Panel Kit White 5-6K	$6.00
5WR1		210736734		Filler Panels	$4.00
5WR1		210736453		Filler Panels Left Rail	$5.00
5WR1		210736454		Filler Panels Right Rail	$5.00
5WR1		210826602		Lock Frame	$2.00
5WR1		210826603		Sash lock	$2.00
5WR1		214146620		Screw Kit White 5-12k	$4.00
5WR1		210826768		Top mounting Rail	$3.60
5WR1		GSK5-6K		Window Foam Insulation Strips	$4.00
5WR1-A		210901453	22007-000068	Power Supply Cord	$28.89
5WR1-A		210736834	41505-000069	Knob	$2.00
5WR1-A		210736452	42008-000060	Air Filter	$7.50
5WR1-A		1193070510	A2004-000143	Screw bag	$4.00
5WR1-A		FPKW5-6K		Filler Panel Kit White 5-6K	$6.00
5WR1-A		210736734		Filler Panels	$4.00
5WR1-A		210736453		Filler Panels Left Rail	$5.00
5WR1-A		210736454		Filler Panels Right Rail	$5.00
5WR1-A		210826602		Lock Frame	$2.00
5WR1-A		210826603		Sash lock	$2.00
